Feature,Feature,Feature,Feature,Feature,Feature,PCA1,PCA2,PCA3,PCA4,PCA5,PCA6
0,0,0,0,0,spectral_entropy,0.1075212107855791,0.47034330379646744,-0.40680279317339496,-0.03917087428499121,-0.10892908825253228,-0.23682143217085058
1,1,1,1,1,spectral_centroid,0.038852934005341,0.4283379426473912,-0.3219855994832766,-0.022523633865509044,-0.32736941642325573,-0.28578247179869315
2,2,2,2,2,spectral_flatness,0.2171558707103658,0.33352889318189416,-0.23621264861173913,0.13495804974053105,0.47312935824234786,0.033236781997284984
3,3,3,3,3,spectral_bandwidth,0.14211915322926394,-0.031690666037122825,0.029881544244886312,0.046359849884399125,0.7576376816881074,-0.2669262411297624
4,4,4,4,4,std_dev_time_diff,0.29436112194873854,0.2734203748386133,0.060709718801190665,-0.08343467238553966,0.06319843015977918,0.4406259583687148
5,5,5,5,5,mean_time_diff,0.40333940602332086,0.15228489541057852,0.3954205572065902,-0.08288969121913774,-0.11281858907281683,0.020820698656362876
6,6,6,6,6,median_time_diff,0.38225499256633955,0.13363123663662924,0.41093117079671576,-0.09431232764855439,-0.1373070506350633,-0.03513637879197032
7,7,7,7,7,max_peak,-0.39779921199091267,0.27905599681653953,0.21476858109179753,-0.2673171628019759,0.16823701349441206,-0.07875500276116948
8,8,8,8,8,median_peak,-0.3066646009805825,0.1330937532380001,0.2678306561965555,-0.4373390722561741,0.03584489920445693,-0.40198080976901274
9,9,9,9,9,std_peak,-0.25300287515184533,0.34840465441365037,0.105779434599164,-0.3019325596242491,0.1229572294850341,0.4717197326980081
10,10,10,10,10,avg_peaks_per_second,0.08618788446066047,0.2851419029795646,0.4071142205753077,0.4109553971743263,-0.050545918105600905,-0.21727748004897532
11,11,11,11,11,sum_peak_magnitude,-0.32266123209729447,0.12982837997340335,0.224602855926475,0.5509355492697354,-0.007083008602578978,-0.1302321990153507
12,12,12,12,12,percent_time_above_threshold,-0.3103040757500965,0.2282935645185891,-0.0018441524581590608,0.3585624616628214,-0.01449421161524526,0.37361748795328925
