Frequency (Hz),Power,Log Power
0.0,5.210704022151624e-05,2.26292104710452e-05
0.1,5.211976361708325e-05,2.263473588362787e-05
0.2,5.216893729386857e-05,2.2656090626538342e-05
0.30000000000000004,5.223999812425138e-05,2.2686950342015605e-05
0.4,5.234959015077305e-05,2.273454306556161e-05
0.5,5.248521545380108e-05,2.279344129896345e-05
0.6000000000000001,5.265265339854642e-05,2.2866154851995732e-05
0.7000000000000001,5.284766953778162e-05,2.2950844817739168e-05
0.8,5.307582635401935e-05,2.3049926816427067e-05
0.9,5.3327189498520824e-05,2.3159086635579454e-05
1.0,5.3611361828397375e-05,2.3282494511830365e-05
1.1,5.392776592510102e-05,2.3419899676863286e-05
1.2000000000000002,5.426627949132521e-05,2.3566906298131558e-05
1.3,5.463603228293137e-05,2.3727479151769055e-05
1.4000000000000001,5.503132683240137e-05,2.3899143980345552e-05
1.5,5.545423453102677e-05,2.4082800314532023e-05
1.6,5.5900800040402616e-05,2.4276730453550096e-05
1.7000000000000002,5.638244414527578e-05,2.448589408772967e-05
1.8,5.687886862520472e-05,2.4701476291499624e-05
1.9000000000000001,5.7406888108700044e-05,2.4930779136483487e-05
2.0,5.795463666013579e-05,2.5168649589280092e-05
2.1,5.8531168885175815e-05,2.5419019770981993e-05
2.2,5.912483946334948e-05,2.5676832460483084e-05
2.3000000000000003,5.975010358456363e-05,2.594836507891292e-05
2.4000000000000004,6.03913564067189e-05,2.622684091284202e-05
2.5,6.105722320245059e-05,2.6516005628575827e-05
2.6,6.174245877006533e-05,2.681358138329356e-05
2.7,6.245219991488245e-05,2.7121798906550676e-05
2.8000000000000003,6.317831684704851e-05,2.743712767593622e-05
2.9000000000000004,6.392803321286e-05,2.7762704665178062e-05
3.0,6.470050530027237e-05,2.8098163455376243e-05
3.1,6.54857491226611e-05,2.8439168317324617e-05
3.2,6.629404744979297e-05,2.8790184692108433e-05
3.3000000000000003,6.711968193189154e-05,2.9148729274375368e-05
3.4000000000000004,6.796404006160135e-05,2.9515404584893993e-05
3.5,6.882421213867681e-05,2.9888947023366606e-05
3.6,6.971100818203073e-05,3.0274050976299596e-05
3.7,7.060256078039094e-05,3.066122018757056e-05
3.8000000000000003,7.151788934919417e-05,3.1058714088087184e-05
3.9000000000000004,7.244720382171709e-05,3.146228118574994e-05
4.0,7.33959657266606e-05,3.1874293201083184e-05
4.1000000000000005,7.43563907253826e-05,3.229136966625996e-05
4.2,7.533986343273326e-05,3.271845446972954e-05
4.3,7.633083065729164e-05,3.314879343217286e-05
4.4,7.733978793272063e-05,3.358694434394032e-05
4.5,7.836659122479212e-05,3.403284463287376e-05
4.6000000000000005,7.940544965607854e-05,3.448397952882043e-05
4.7,8.045728113238391e-05,3.494074762479902e-05
4.800000000000001,8.152764864640562e-05,3.540556468303922e-05
4.9,8.261609862929978e-05,3.5878233711665503e-05
5.0,8.371201009209526e-05,3.635414243406731e-05
5.1000000000000005,8.482402794599383e-05,3.6837044958607624e-05
5.2,8.595267845023278e-05,3.7327169793612394e-05
5.300000000000001,8.708619580550188e-05,3.781940753803333e-05
5.4,8.824039008725504e-05,3.832062380735352e-05
5.5,8.941712105660365e-05,3.883162618231418e-05
5.6000000000000005,9.059366733973216e-05,3.9342547755056004e-05
5.7,9.17775862786973e-05,3.98566703367412e-05
5.800000000000001,9.299526945317363e-05,4.0385454567653254e-05
5.9,9.421413769852103e-05,4.091475277591888e-05
6.0,9.54396500581786e-05,4.144693556595337e-05
6.1000000000000005,9.671009352811296e-05,4.199862915064563e-05
6.2,9.79645724007329e-05,4.254338937715465e-05
6.300000000000001,9.92275844764666e-05,4.3091854475749994e-05
6.4,0.00010055190713899248,4.3666943054943623e-05
6.5,0.00010183776085312057,4.422532572200586e-05
6.6000000000000005,0.0001031236425458195,4.478371982089857e-05
6.7,0.0001044733517457919,4.5369830241234695e-05
6.800000000000001,0.0001058077746540382,4.5949301820907544e-05
6.9,0.00010721731883591112,4.65613938855856e-05
7.0,0.00010857153069343393,4.714945717389326e-05
7.1000000000000005,0.00010992290840345609,4.77362889465553e-05
7.2,0.0001112933193431275,4.8331385033211276e-05
7.300000000000001,0.00011269853871938582,4.894159571304386e-05
7.4,0.0001141699851283517,4.95805642879345e-05
7.5,0.00011563472414297342,5.021661927515457e-05
7.6000000000000005,0.00011692124170401447,5.077528179268298e-05
7.7,0.00011847970418308453,5.145203379356489e-05
7.800000000000001,0.00011990346335595931,5.207029085482444e-05
7.9,0.0001214360705407332,5.273581338971999e-05
8.0,0.00012297747655375845,5.340515571729768e-05
8.1,0.00012450146089511892,5.4066931819446914e-05
8.200000000000001,0.0001259426301423031,5.469274530538186e-05
8.3,0.00012776295254612663,5.548320100908165e-05
8.4,0.00012913036050459775,5.607698247078674e-05
8.5,0.00013061014684966592,5.6719562062848274e-05
8.6,0.00013232715925809817,5.746515305536519e-05
8.700000000000001,0.00013403440622121422,5.8206502257233584e-05
8.8,0.00013552344823271375,5.8853097838678884e-05
8.9,0.00013721672798186038,5.9588379619582676e-05
9.0,0.00013894337341622368,6.0338148675800326e-05
9.1,0.00014037784787620825,6.0961046023934604e-05
9.200000000000001,0.00014227340669027206,6.178416042987727e-05
9.3,0.00014398376749696703,6.252685438958045e-05
9.4,0.00014572602215592493,6.328339638523788e-05
9.5,0.00014676275461235257,6.373357773373503e-05
9.600000000000001,0.00014937705346442399,6.486878520917205e-05
9.700000000000001,0.00015101646963002258,6.558066768104148e-05
9.8,0.00015203054121519125,6.602100665302161e-05
9.9,0.0001541533065640566,6.694277081574658e-05
10.0,0.00015592983664456175,6.771418842479135e-05
10.100000000000001,0.0001596234466902442,6.931804983412769e-05
10.200000000000001,0.000160055547093069,6.950567866419057e-05
10.3,0.000162691165353383,7.065012844734256e-05
10.4,0.0001612017483753146,7.000338760994273e-05
10.5,0.0001669225789560975,7.248750521329481e-05
10.600000000000001,0.00016919097310505432,7.347249074147925e-05
10.700000000000001,0.00017278041710009194,7.503109996179201e-05
10.8,0.00017212205050340815,7.474522428134824e-05
10.9,0.00017344013163968808,7.531756075669247e-05
11.0,0.00017568189059888404,7.629097438233423e-05
11.100000000000001,0.00017968122517840463,7.802755476319406e-05
11.200000000000001,0.00018036732780630545,7.832547171619285e-05
11.3,0.000182663128448025,7.932234431892607e-05
